question,label
How has unemployment changed since 2020?,trend
Show inflation trends after 2015.,trend
How did GDP evolve over time?,trend
What happened to payrolls after COVID?,trend
Analyze unemployment trends since 2010.,trend
How has CPI changed over the last decade?,trend
Show the long-term trend in interest rates.,trend
Describe changes in inflation after 2021.,trend
How has the unemployment rate moved since 2018?,trend
Plot the yearly trend in GDP.,trend
How has the federal funds rate changed since 2019?,trend
Show the trend in nonfarm payrolls since 2020.,trend
Describe the direction of CPI since 2010.,trend
How has GDP changed from 2015 to 2025?,trend
What is the unemployment trend over the past decade?,trend
Show annual changes in inflation since 2000.,trend
How did interest rates move after 2022?,trend
Analyze the trend in payroll employment since 2016.,trend
How has CPI evolved since the pandemic?,trend
Show the monthly trend in unemployment.,trend
Describe the quarterly trend in GDP.,trend
How has the labor market changed since 2015?,trend
Show how prices changed over time.,trend
What is the trend in federal funds rate since 2008?,trend
Analyze unemployment movement between 2010 and 2020.,trend
How has total nonfarm employment changed since 2010?,trend
Show the trajectory of inflation after 2020.,trend
How did GDP levels change before and after 2020?,trend
What happened to interest rates from 2020 onward?,trend
Describe unemployment levels over time.,trend
Show yearly average unemployment since 2015.,trend
How have payrolls moved since 2021?,trend
What is the long-run CPI trend?,trend
Analyze GDP movement since 1990.,trend
How has the average federal funds rate changed over time?,trend
Show unemployment changes after 2008.,trend
Describe the trend in inflation since 1995.,trend
How did payroll employment evolve after 2012?,trend
What is the yearly trend in CPI?,trend
Show the time series trend for UNRATE.,trend
How has FEDFUNDS moved since 2020?,trend
Describe the pattern in GDP since 2000.,trend
How has the unemployment rate shifted over the years?,trend
What trend appears in payroll employment after 2020?,trend
Show the annual path of inflation.,trend
How did CPI change from 2019 through 2024?,trend
Analyze the post-2020 trend in unemployment.,trend
Show the direction of GDP since 2015.,trend
How has the average unemployment rate changed since 2020?,trend
What is the recent trend in interest rates?,trend
Compare unemployment and inflation since 2020.,comparison
Compare GDP and payroll growth.,comparison
How does unemployment compare to interest rates?,comparison
Compare CPI before and after COVID.,comparison
Compare payrolls in 2024 versus 2025.,comparison
Compare inflation and federal funds rate trends.,comparison
Compare unemployment across decades.,comparison
Compare GDP growth before and after 2008.,comparison
Compare monthly and yearly unemployment averages.,comparison
Compare payroll growth and inflation.,comparison
Compare CPI and FEDFUNDS since 2015.,comparison
Compare unemployment in 2020 versus 2021.,comparison
How do payrolls compare before and after 2020?,comparison
Compare GDP and CPI over time.,comparison
Compare unemployment and nonfarm payrolls since 2010.,comparison
Compare average inflation in 2021 and 2022.,comparison
Compare federal funds rate levels before and after 2022.,comparison
How does GDP compare to payroll employment?,comparison
Compare unemployment trends in 2019 and 2020.,comparison
Compare yearly unemployment averages across two periods.,comparison
Compare inflation before 2020 with inflation after 2020.,comparison
How do CPI and interest rates differ since 2020?,comparison
Compare PAYEMS and UNRATE since 2018.,comparison
Compare the labor market indicators since 2015.,comparison
Compare quarterly GDP with monthly payroll trends.,comparison
Compare the average unemployment rate in 2024 to 2025.,comparison
How did CPI compare with federal funds rate after 2021?,comparison
Compare economic growth and inflation since 2010.,comparison
Compare the highest and lowest unemployment periods.,comparison
Compare unemployment during 2020 and 2023.,comparison
How does inflation compare across decades?,comparison
Compare the trend in GDP and CPI.,comparison
Compare payroll levels before and after COVID.,comparison
Compare interest rates in 2022 versus 2024.,comparison
Compare unemployment and GDP since 2008.,comparison
Compare CPI and payroll employment since 2015.,comparison
How do unemployment rates compare between 2010 and 2020?,comparison
Compare the average federal funds rate before and after 2020.,comparison
Compare annual CPI averages across recent years.,comparison
How does unemployment compare with payroll employment after 2020?,comparison
Compare yearly GDP averages in two time windows.,comparison
Compare inflation trends in 2021 and 2023.,comparison
Compare the federal funds rate to unemployment since 2020.,comparison
Compare PAYEMS and GDP growth since 2010.,comparison
Compare labor market metrics after COVID.,comparison
How does CPI compare to unemployment over time?,comparison
Compare monthly unemployment rates in 2024 versus 2025.,comparison
Compare interest rate movements to inflation movements.,comparison
Compare GDP levels before and after the pandemic.,comparison
Compare unemployment levels across recent years.,comparison
Rank the highest unemployment years.,ranking
What were the lowest inflation years?,ranking
Show the top 5 unemployment periods.,ranking
Which years had the highest GDP growth?,ranking
Rank the lowest federal funds rate periods.,ranking
What were the worst unemployment months?,ranking
